pore_id,pore_volume_m3,pore_radius_m,shape_factor,clay_volume,pore_volume_um3,pore_radius_um,pore_diameter_um,equivalent_t2_ms
150,1.105708e-13,2.07911e-05,0.02799193,0.0,110570.8,20.7911,41.5822,1386.0733333333335
151,6.995077e-14,2.071597e-05,0.02661572,0.0,69950.76999999999,20.715970000000002,41.431940000000004,1381.0646666666669
152,5.911452e-14,2.07435e-05,0.04090868,0.0,59114.52,20.743499999999997,41.486999999999995,1382.8999999999999
153,1.284424e-13,2.067064e-05,0.034698,0.0,128442.40000000001,20.670640000000002,41.341280000000005,1378.042666666667
154,6.122373e-14,2.070908e-05,0.02504422,0.0,61223.73,20.70908,41.41816,1380.6053333333334
155,5.059982e-14,2.055501e-05,0.04331092,0.0,50599.82,20.55501,41.11002,1370.334
156,1.253282e-13,2.102871e-05,0.03266872,0.0,125328.2,21.02871,42.05742,1401.914
157,5.657356e-14,2.053172e-05,0.03309091,0.0,56573.560000000005,20.53172,41.06344,1368.7813333333334
158,2.326148e-13,2.087585e-05,0.03275168,0.0,232614.8,20.87585,41.7517,1391.7233333333334
159,1.015818e-13,2.093325e-05,0.0325491,0.0,101581.8,20.93325,41.8665,1395.5500000000002
160,9.6507e-14,2.053851e-05,0.0370483,0.0,96507.0,20.538510000000002,41.077020000000005,1369.2340000000002
161,5.675758e-14,2.057887e-05,0.02241691,0.0,56757.58,20.57887,41.15774,1371.9246666666666
162,8.027741e-14,2.055031e-05,0.03474586,0.0,80277.41,20.55031,41.10062,1370.0206666666668
163,1.938704e-13,2.078913e-05,0.03392512,0.0,193870.4,20.78913,41.57826,1385.942
164,2.121455e-13,2.041803e-05,0.02221247,0.0,212145.5,20.418029999999998,40.836059999999996,1361.202
165,1.312524e-13,2.085924e-05,0.03223613,0.0,131252.4,20.85924,41.71848,1390.616
166,7.026927e-14,2.018372e-05,0.0264201,0.0,70269.27,20.18372,40.36744,1345.5813333333335
167,1.632515e-13,2.053339e-05,0.03214333,0.0,163251.5,20.53339,41.06678,1368.8926666666669
168,6.123081e-14,2.065947e-05,0.02810462,0.0,61230.81,20.65947,41.31894,1377.298
169,5.090417e-14,2.088372e-05,0.02512676,0.0,50904.170000000006,20.88372,41.76744,1392.248
170,7.048869e-14,2.041623e-05,0.03427155,0.0,70488.68999999999,20.416230000000002,40.832460000000005,1361.082
171,6.91722e-14,2.037934e-05,0.02463948,0.0,69172.20000000001,20.37934,40.75868,1358.6226666666666
172,1.455851e-13,2.053522e-05,0.02448091,0.0,145585.1,20.535220000000002,41.070440000000005,1369.014666666667
173,2.353893e-13,2.06027e-05,0.04420622,0.0,235389.30000000002,20.6027,41.2054,1373.5133333333333
