group_id,slice_index_0_based,slice_index_1_based,weight_slice_count,mesh_png,source_mesh_png
55,213,214,2,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_055_slice_0213_count_002_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_055_slice_0213\berea_group055_slice_0213_triangular_mesh.png
56,217,218,5,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_056_slice_0217_count_005_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_056_slice_0217\berea_group056_slice_0217_triangular_mesh.png
57,225,226,12,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_057_slice_0225_count_012_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_057_slice_0225\berea_group057_slice_0225_triangular_mesh.png
58,232,233,2,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_058_slice_0232_count_002_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_058_slice_0232\berea_group058_slice_0232_triangular_mesh.png
59,236,237,5,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_059_slice_0236_count_005_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_059_slice_0236\berea_group059_slice_0236_triangular_mesh.png
60,241,242,5,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_060_slice_0241_count_005_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_060_slice_0241\berea_group060_slice_0241_triangular_mesh.png
61,245,246,4,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_061_slice_0245_count_004_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_061_slice_0245\berea_group061_slice_0245_triangular_mesh.png
62,251,252,7,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_062_slice_0251_count_007_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_062_slice_0251\berea_group062_slice_0251_triangular_mesh.png
63,257,258,5,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_063_slice_0257_count_005_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_063_slice_0257\berea_group063_slice_0257_triangular_mesh.png
64,262,263,5,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_064_slice_0262_count_005_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_064_slice_0262\berea_group064_slice_0262_triangular_mesh.png
65,266,267,4,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_065_slice_0266_count_004_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_065_slice_0266\berea_group065_slice_0266_triangular_mesh.png
66,269,270,1,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\representative_mesh_figures\group_066_slice_0269_count_001_mesh.png,C:\Users\imgw\Documents\Codex\NMR模拟\simulation_outputs\niu2020_berea_porosity_grouped_nmr_topaxis_down32_jitter\group_runs\group_066_slice_0269\berea_group066_slice_0269_triangular_mesh.png
