time_ms,average_normalized_signal,slice_0014_normalized_signal,slice_0021_normalized_signal,slice_0121_normalized_signal,slice_0193_normalized_signal,slice_0428_normalized_signal,slice_0574_normalized_signal,slice_0582_normalized_signal,slice_0616_normalized_signal,slice_0640_normalized_signal,slice_0691_normalized_signal
660.0,0.6433406721057084,0.622837846104577,0.6246381731732242,0.5805907599198107,0.6638710741854446,0.6994615012935791,0.6366961429506086,0.6423927986737218,0.6511730512288869,0.6639524300547736,0.6477929434724574
665.0,0.6413426092867668,0.620725983678442,0.6225391213616954,0.5784119316957818,0.6619856426549361,0.6976589621321989,0.6346457196998079,0.6403776300309879,0.6492154749992075,0.6620418356758154,0.6458237909387943
670.0,0.6393523800937106,0.61862252499248,0.6204484448535872,0.5762435287973252,0.6601074584698782,0.6958619162484136,0.6326032904272206,0.638370275806986,0.647265517886569,0.6601383818258088,0.6438624616288372
675.0,0.6373699423757226,0.6165274264046197,0.6183660996996435,0.574085484100393,0.6582364807283793,0.694070339109833,0.6305688147436649,0.6363706953871855,0.6453231386529529,0.6582420314800429,0.6419089134505128
680.0,0.6353952543152436,0.6144406446032945,0.6162920422864393,0.5719377310850816,0.6563726688668273,0.6922842063776362,0.6285422525522838,0.6343788484664367,0.6433882963860994,0.6563527478996086,0.639963104628728
685.0,0.6334282744238994,0.6123621366035069,0.6142262293323716,0.5698002038277692,0.6545159826557843,0.6905034939039814,0.6265235640451466,0.6323946950452514,0.6414609504955909,0.6544704946278553,0.6380249937017367
690.0,0.631468961538509,0.6102918597429656,0.6121686178837268,0.5676728369934014,0.6526663821959573,0.6887281777294628,0.6245127096999173,0.6304181954261522,0.6395410607090113,0.6525952354869163,0.6360945395175794
695.0,0.6295172748171673,0.608229771678297,0.6101191653108198,0.5655555658279316,0.6508238279142445,0.6869582340806256,0.6225096502765851,0.6284493102100979,0.637628587068177,0.6507269345743071,0.6341717012305872
700.0,0.6275731737354036,0.6061758303813293,0.6080778293042067,0.5634483261508983,0.648988280559854,0.6851936393675295,0.6205143468142613,0.6264880002929732,0.6357234899254396,0.6488655562595896,0.6322564382979543
705.0,0.6256366180824128,0.6041299941354473,0.6060445678709688,0.5613510543481472,0.6471597012004922,0.683434370181361,0.6185267606280357,0.6245342268621477,0.6338257299400554,0.6470110651811013,0.6303487104763711
