slice,porosity,n_components,max_area,p50_area,p90_area,small_1_20,large_gt_1000,score
213,0.2383673469387755,77,10891,78.0,690.6000000000007,24,5,7.1324215385237135
33,0.2604408163265306,76,5468,74.0,1080.0,23,8,7.123847022011086
56,0.26463673469387755,85,4768,64.0,682.2,23,8,7.123431407348423
81,0.24947755102040817,90,5106,50.5,782.9000000000009,27,7,7.098032109844238
49,0.24284897959183674,97,5569,70.0,655.2000000000002,28,7,7.05316800695152
115,0.25227755102040816,95,3986,65.0,806.4000000000002,28,7,7.042972969266974
46,0.2385877551020408,83,6974,53.0,828.9999999999995,27,8,7.0360249129189585
28,0.25204897959183675,79,5189,48.0,969.2000000000014,25,8,7.024945558669834
16,0.2600081632653061,60,7132,72.0,1900.1000000000001,20,8,7.023466949355614
79,0.2618367346938775,82,5136,75.5,947.2000000000015,22,8,7.014702110455333
210,0.24506938775510204,79,11630,44.0,802.4000000000002,20,7,6.984742551594895
110,0.25296326530612245,95,3555,76.0,661.0000000000002,28,6,6.964667928213813
113,0.24929795918367348,105,2949,49.0,712.6000000000003,32,8,6.964277728661699
36,0.2481142857142857,79,6095,47.0,1114.0000000000002,24,9,6.960536651728881
5,0.28066938775510203,46,12009,119.0,1601.5,13,6,6.957786153214941
189,0.22715918367346938,87,6816,63.0,852.0000000000005,31,7,6.949402882712693
30,0.26591020408163263,69,5310,63.0,1244.2,20,8,6.944111771301641
112,0.24681632653061225,103,3045,53.0,716.9999999999999,32,7,6.922588563791429
1,0.25626122448979594,51,9548,75.0,1790.0,18,9,6.91479997081574
22,0.2377877551020408,84,4628,62.0,1115.3000000000004,30,10,6.891845819857771
38,0.2512081632653061,72,5510,60.5,1219.4999999999998,23,10,6.877413579421165
23,0.2392081632653061,88,5068,54.5,961.0999999999998,28,9,6.871508070739668
51,0.2552326530612245,76,9315,55.5,867.0,18,8,6.868480825526448
27,0.2557469387755102,83,5194,53.0,826.3999999999999,22,7,6.8605573977150724
6,0.2755918367346939,56,9759,70.5,1795.5,14,8,6.855699218327095
29,0.2580816326530612,69,5321,60.0,1336.4000000000003,21,9,6.844304662481592
221,0.23936326530612245,65,10382,57.0,807.4000000000002,21,6,6.842373479938334
224,0.2308408163265306,73,5404,39.0,620.7999999999997,30,6,6.8133576023616165
120,0.24114285714285713,101,3646,52.0,797.0,30,9,6.791642957500498
37,0.24605714285714286,78,4557,51.5,1149.9999999999995,25,10,6.753847283103808
212,0.2445142857142857,73,11741,70.0,811.1999999999998,18,6,6.7466684949499545
209,0.24415510204081634,67,11535,66.0,942.5999999999997,18,7,6.72403363206088
124,0.22340408163265307,106,3782,36.0,646.5,37,8,6.6948453915284
125,0.21318367346938777,118,4087,35.0,445.5999999999997,40,7,6.583402604630557
118,0.23616326530612244,99,3620,45.0,906.4000000000001,29,7,6.582137230067191
121,0.24674285714285715,95,3914,74.0,799.2000000000003,24,9,6.570361955538648
231,0.2296816326530612,77,7103,56.0,778.6000000000001,24,7,6.556565642681207
332,0.24351020408163265,68,3828,41.0,1118.0000000000005,25,8,6.545667746187348
2,0.263069387755102,48,5469,61.5,2961.1000000000004,17,8,6.544515978417661
223,0.23208163265306123,77,4660,38.0,873.2000000000019,27,8,6.532420861474564
193,0.22093877551020408,96,3176,50.0,943.0,38,8,6.526936864721183
41,0.25281632653061226,79,6341,60.0,1036.0000000000007,18,8,6.517204041549704
131,0.23132244897959184,85,5678,50.0,934.8000000000008,25,8,6.515130778980945
188,0.2301469387755102,89,4472,67.0,760.6000000000006,28,8,6.514277908334129
172,0.22355102040816327,71,6207,73.0,782.0,27,6,6.505808962504427
227,0.23237551020408162,68,5946,57.0,819.5000000000007,24,6,6.500495291216958
220,0.23418775510204082,69,10514,58.0,735.4000000000003,19,5,6.496872470883901
229,0.23668571428571428,70,7131,50.0,591.9000000000001,21,5,6.491058654766196
331,0.24173061224489795,76,3917,61.0,1046.5,24,8,6.437490023579981
126,0.2231265306122449,101,4448,36.0,728.0,30,7,6.436527689327122
198,0.22913469387755103,82,4461,46.0,1122.5000000000027,27,9,6.416158364786889
190,0.22431020408163266,93,3671,51.0,880.5999999999997,31,9,6.381280893918988
228,0.23276734693877552,69,6154,41.0,918.8000000000003,22,7,6.367874470606611
222,0.23938775510204083,69,4758,44.0,1215.8000000000006,22,8,6.355916173918413
