time_ms,uncoupled_signal_normalized,coupled_signal_normalized
436.0,0.3926912618696836,0.3764589317034878
438.0,0.39104457999356496,0.3747578774506576
440.0,0.38940500900266783,0.3730645017655273
442.0,0.3877725163403407,0.37137877022816385
444.0,0.38614706961513146,0.3697006485654192
446.0,0.38452863659981695,0.36803010265054076
448.0,0.3829171852304378,0.36636709850277266
450.0,0.3813126836053409,0.3647116022869527
452.0,0.37971509998422776,0.36306358031310204
454.0,0.37812440278721116,0.3614229990360095
456.0,0.3765405605938759,0.3597898250548098
458.0,0.3749635421423471,0.3581640251125568
460.0,0.3733933163283652,0.35654556609579274
462.0,0.3718298522043667,0.3549344150341084
464.0,0.37027311897857196,0.35333053909970574
466.0,0.368723086014078,0.35173390560694895
468.0,0.3671797228279583,0.35014448201191817
470.0,0.36564299909036985,0.348562235911951
472.0,0.36411288462366337,0.3469871350451885
474.0,0.36258934940150195,0.3454191472901134
476.0,0.36107236354798605,0.3438582406650841
478.0,0.35956189733678223,0.3423043833278688
480.0,0.358057921190259,0.3407575435751736
482.0,0.35656040567862946,0.33921768984216966
484.0,0.3550693215190983,0.3376847907020171
486.0,0.3535846395750147,0.3361588148653858
488.0,0.352106330855032,0.33463973117997453
490.0,0.35063436651227275,0.33312750863002827
492.0,0.34916871784349746,0.33162211633585265
494.0,0.347709356288282,0.3301235235533264
496.0,0.34625625342819905,0.3286316996734132
498.0,0.34480938098600405,0.3271466142216704
500.0,0.3433687108248295,0.32566823685775803
502.0,0.3419342149473804,0.3241965373749434
504.0,0.34050586549513967,0.32273148569960874
506.0,0.3390836347475757,0.32127305189075384
508.0,0.33766749512135663,0.31982120613949905
510.0,0.3362574191695688,0.3183759187685881
512.0,0.33485337958094297,0.31693716023188984
514.0,0.33345534917908165,0.3155049011138971
516.0,0.3320633009216953,0.3140791121292281
518.0,0.33067720789984156,0.31265976412212526
520.0,0.3292970433371704,0.3112468280659549
522.0,0.3279227805891735,0.30984027506270384
524.0,0.3265543931424396,0.30844007634247983
526.0,0.32519185461391464,0.3070462032630092
528.0,0.32383513875016595,0.305658627309133
530.0,0.32248421942665134,0.30427732009230746
532.0,0.321139070646995,0.3029022533501001
534.0,0.3197996665422652,0.30153339894568953
536.0,0.3184659813702594,0.30017072886735996
538.0,0.31713798951479283,0.29881421522800367
540.0,0.3158156654849909,0.2974638302646182
542.0,0.3144989839145885,0.2961195463378042
544.0,0.313187919561232,0.2947813359312665
546.0,0.31188244730578685,0.2934491716513132
548.0,0.3105825421516487,0.292123026226356
550.0,0.30928817922406054,0.2908028725064111
552.0,0.3079993337694333,0.2894886834626009
554.0,0.3067159811546706,0.28818043218665645
556.0,0.3054380968664989,0.28687809189042
558.0,0.3041656565108017,0.285581635905349
560.0,0.30289863581195714,0.28429103768202074
562.0,0.3016370106121815,0.28300627078963686
564.0,0.30038075687087534,0.28172730891553016
566.0,0.2991298506639759,0.28045412586467183
568.0,0.29788426818331115,0.2791866955591792
570.0,0.29664398573596074,0.2779249920378248
572.0,0.2954089797436187,0.2766689894555467
574.0,0.29417922674196173,0.2754186620829596
576.0,0.2929547033800215,0.2741739843058668
578.0,0.29173538641955993,0.27293493062477386
580.0,0.2905212527344503,0.2717014756544025
582.0,0.2893122793100605,0.27047359412320676
584.0,0.28810844324264123,0.2692512608728904
586.0,0.2869097217387182,0.2680344508579238
588.0,0.285716092114488,0.266823139145064
590.0,0.2845275317952176,0.26561730091287455
592.0,0.2833440183146484,0.26441691145124924
594.0,0.2821655293144034,0.26322194616093325
596.0,0.28099204254339843,0.2620323805530482
598.0,0.2798235358572573,0.2608481902486195
600.0,0.2786599872177303,0.25966935097810095
602.0,0.2775013746921174,0.2584958385809063
604.0,0.2763476764526935,0.25732762900493744
606.0,0.27519887077613875,0.25616469830611666
608.0,0.2740549360429719,0.25500702264791886
610.0,0.2729158507369873,0.2538545783009068
612.0,0.27178159344469544,0.2527073416422665
614.0,0.27065214285476724,0.2515652891553451
616.0,0.26952747775748226,0.2504283974291888
618.0,0.2684075770441787,0.249296643158084
620.0,0.26729241970670925,0.24817000314109872
622.0,0.26618198483689837,0.2470484542816262
624.0,0.2650762516260044,0.24593197358692936
626.0,0.2639751993641844,0.2448205381676885
628.0,0.262878807439962,0.2437141252375477
630.0,0.2617870553396995,0.24261271211266558
632.0,0.26069992264707315,0.24151627621126617
634.0,0.2596173890425505,0.24042479505319114
636.0,0.2585394343028728,0.2393382462594549
638.0,0.2574660383005393,0.23825660755180017
640.0,0.25639718100329545,0.2371798567522554
642.0,0.2553328424736244,0.2361079717826942
644.0,0.2542730028682409,0.2350409306643953
646.0,0.2532176424375894,0.23397871151760594
648.0,0.2521667415253441,0.23292129256110533
650.0,0.25112028056791375,0.2318686521117701
652.0,0.2500782400939471,0.2308207685841417
654.0,0.2490406007238444,0.22977762048999506
656.0,0.24800734316926953,0.22873918643790947
658.0,0.24697844823266615,0.22770544513284033
660.0,0.2459538968067772,0.2266763753756929
662.0,0.24493366987416595,0.22565195606289715
664.0,0.24391774850674203,0.22463216618598647
666.0,0.24290611386528863,0.22361698483117434
668.0,0.2418987471989937,0.2226063911789358
670.0,0.24089562984498325,0.22160036450358897
672.0,0.23989674322785864,0.22059888417287882
674.0,0.23890206885923512,0.21960192964756237
676.0,0.23791158833728498,0.21860948048099527
678.0,0.23692528334628202,0.2176215163187207
680.0,0.2359431356561493,0.21663801689805914
682.0,0.23496512712201065,0.2156589620477008
684.0,0.2339912396837432,0.21468433168729845
686.0,0.23302145536553387,0.21371410582706227
688.0,0.232055756275438,0.21274826456735713
690.0,0.23109412460494144,0.21178678809830118
692.0,0.23013654262852398,0.21082965669936518
694.0,0.22918299270322642,0.20987685073897383
696.0,0.22823345726822064,0.2089283506741103
698.0,0.22728791884438107,0.2079841370499201
700.0,0.2263463600338596,0.20704419049931744
702.0,0.22540876351966285,0.20610849174259444
