t2_ms,png_spectrum,png_spectrum_normalized,comsol_spectrum,comsol_spectrum_normalized,extra_comsol_spectrum,extra_comsol_spectrum_normalized
46.59525668664682,163.46973911624633,0.07963163694304135,0.0,0.0,0.0,0.0
48.80251583654431,219.6104323385516,0.10697966676543047,0.0,0.0,0.0,0.0
51.11433483440168,284.52216981088975,0.1386003687967921,0.0,0.0,0.0,0.0
53.53566677410724,357.804956521339,0.17429889194272438,0.0,0.0,0.0,0.0
56.07169938205458,438.8698673896728,0.2137883508847042,0.0,0.0,0.0,0.0
58.72786613189483,526.9607161958077,0.2567003817477749,0.0,0.0,0.0,0.0
61.50985788580501,621.1762788150135,0.30259596778979936,0.0,0.0,0.0,0.0
64.42363508721374,720.4929125540064,0.3509764580448455,0.0,0.0,0.0,0.0
67.47544053110693,823.7874016455415,0.40129469613602375,0.0,0.0,0.0,0.0
70.67181273927491,929.8598486610055,0.45296617145653423,7.455757160650557,0.00231919149174459,9.509655054185151,0.002935723599648946
74.01959996915645,1037.4564230196174,0.5053801007376412,30.647044083605824,0.00953308461559633,36.75029974295413,0.011345177257726267
77.5259748862946,1145.291771181029,0.5579103448111913,75.5098191679356,0.023488121512553185,87.49492726505783,0.027010540483122476
81.19844993184013,1252.0708887635262,0.609926063257901,145.8589576797053,0.04537095916036921,165.30932004316068,0.05103260521306166
85.04489341802677,1356.510252970163,0.6608020087266268,243.61455411919138,0.07577886309927537,271.79646625638225,0.08390622958914683
89.0735463861044,1457.358014539607,0.7099283631163257,369.0300456313226,0.11479066761230233,406.84234112411576,0.12559621304548313
93.29304026284686,1553.4130521418738,0.7567200196164595,520.9203110188058,0.16203772831656243,568.8610345288902,0.17561296960526554
97.71241535346496,1643.5426988439283,0.8006252178677321,696.8878254389816,0.21677426995455565,755.037132566895,0.23308735343795647
102.34114021054528,1726.6989600603276,0.8411334442741869,893.5449001528597,0.2779465163998798,961.5632131234263,0.29684397606813034
107.18913192051275,1801.9330553090701,0.8777825157841485,1106.7300125815607,0.3442599823910544,1183.8702975952503,0.36547234907792375
112.26677735108136,1868.4081320824428,0.9101647732465751,1331.7162369265927,0.4142443080628429,1416.8491150663244,0.43739519052390535
117.5849554052157,1925.4100191234481,0.9379323196955831,1563.409821827849,0.48631502861027964,1655.0600837638337,0.5109332482679395
123.15506032928262,1972.3559082105696,0.960801249541342,1796.5370305632848,0.5588316928931345,1892.9299990867555,0.5843660194968676
128.9890261253308,2008.80087797054,0.9785548265398486,2025.8174621403916,0.6301517767799273,2124.933538856742,0.6559877831701035
135.09935211980266,2034.4421999667613,0.9910455814341885,2246.1222086242415,0.698679879644226,2345.757854892736,0.7241584110498077
141.4991297434576,2049.121395992433,0.9981963141315765,2452.6153747837307,0.7629117455354567,2550.4487149418646,0.7873484831454519
148.20207057988586,2052.8240457140473,1.0,2640.877689420307,0.8214727137796521,2734.53688892406,0.8441783043846535
155.2225357427048,2045.6773750902182,0.9965186151054932,2807.0111715501084,0.8731502764935802,2894.1437359752417,0.8934505003669361
162.5755666443795,2027.9456878137041,0.9878809107130808,2947.7240760802993,0.9169205018286303,3026.065240594857,0.9341759601450549
170.27691722258996,2000.0237338343845,0.9742791828701047,3060.395629061676,0.9519681705503484,3127.8340631043443,0.9655929918089008
178.34308769319094,1962.4281402347647,0.9559650980959551,3143.120367522223,0.9777005684088855,3197.7595065250903,0.987179660651937
186.79135990207828,1915.7870597496712,0.9332446508260236,3194.732218058927,0.993754976037617,3234.9456530107977,0.9986593880653988
195.63983435170647,1860.8282204492214,0.9064723420082296,3214.808775898895,1.0,3239.288281540645,1.0
204.90746898158483,1798.365585951884,0.876044680841775,3203.656575595924,0.9965309910851999,3211.451537535665,0.9914065246481426
214.61411978584036,1729.2848584421072,0.8423931228068787,3162.2784690453327,0.9836598968973281,3152.825676806894,0.9733081475870902
224.78058335487253,1654.5280762136467,0.8059765666073642,3092.324538949744,0.9618999929739512,3065.4675429206545,0.9463398365589989
235.4286414322418,1575.0775729784082,0.7672735402076502,2996.02826902202,0.9319460278580017,2952.02575073656,0.911319244896765
246.5811075822604,1491.9395773697133,0.7267742115962803,2876.1299589199702,0.8946504005096768,2815.6528317230723,0.8692195899229794
258.2618760682677,1406.1277376040418,0.6849723630916157,2735.789605290539,0.8509960610411681,2659.9068412007055,0.8211392781427966
270.49597304631345,1318.6468579084465,0.642357468805746,2578.4916639389826,0.8020668859901344,2488.6451269618983,0.7682691105770519
283.3096101839324,1230.477129928008,0.5994070132299152,2407.94425625761,0.7490163254218202,2305.9131065727574,0.7118579472266164
296.73024081888695,1142.5591338541856,0.5565791847770186,2227.9754806992305,0.6930351495249557,2115.8309918164755,0.6531777377992922
310.7866187782014,1055.779870518323,0.5143060715420859,2042.4295332963493,0.6353191358093342,1922.4814290439456,0.5934888351862249
325.508859983506,970.9600673349914,0.472987477598089,1855.0653271643366,0.5770375336385725,1729.800990766344,0.5340064978544081
340.9285069746811,888.8429780178391,0.4329854669588435,1669.460227973891,0.5193031201387995,1541.478355146462,0.47586945685899745
357.07859649004627,810.0848687824013,0.39461972908672943,1488.921390235031,0.4631446204195186,1360.861846067915,0.42011137255763864
373.9937302478798,735.247352740546,0.3581638447170469,1316.4069889565205,0.40948220585482226,1190.8787786324908,0.36763593577602
391.71014908092604,664.7916999036565,0.32384251406818343,1154.459395246665,0.3591067076528886,1033.968766205219,0.319196279039867
410.26581058271944,599.0752132379009,0.291829791495608,1005.1520464477072,0.31266309025383815,892.0327999027585,0.27537925691457654
429.70047043208393,538.3497222013119,0.26224835164284827,870.0514164480177,0.27063862179632814,766.3995154878979,0.2365950322653558
450.05576757004974,482.76220482587837,0.23516979247870998,750.1951060469637,0.23335605889566513,657.8096230274376,0.20307226954020138
471.3753134116724,432.35750840092544,0.21061596063413981,646.0866538201257,0.20097203250898582,566.4189995224879,0.1748590894951443
493.7047852839004,387.0830978891398,0.18856126451621827,557.7072228546648,0.17348068321691199,491.8204430613623,0.15182978491418692
