slice_index_0_based,slice_index_1_based,pore_px,solid_px,total_px,porosity
655,656,161609,478391,640000,0.2525140625
656,657,161596,478404,640000,0.25249375
657,658,161424,478576,640000,0.252225
658,659,161508,478492,640000,0.25235625
659,660,161682,478318,640000,0.252628125
660,661,162241,477759,640000,0.2535015625
661,662,162768,477232,640000,0.254325
662,663,163207,476793,640000,0.2550109375
663,664,163407,476593,640000,0.2553234375
664,665,163391,476609,640000,0.2552984375
665,666,163760,476240,640000,0.255875
666,667,164241,475759,640000,0.2566265625
667,668,164236,475764,640000,0.25661875
668,669,164000,476000,640000,0.25625
669,670,163581,476419,640000,0.2555953125
670,671,163456,476544,640000,0.2554
671,672,163128,476872,640000,0.2548875
672,673,163287,476713,640000,0.2551359375
673,674,163391,476609,640000,0.2552984375
